fold,best_acc,best_bal_acc
0,0.058823529411764705,0.5
1,0.5,0.5
2,1.0,1.0
3,1.0,1.0
4,0.7894736842105263,0.5
5,1.0,1.0
6,0.9117647058823529,0.6505376344086021
7,0.33035714285714285,0.6621621621621622
8,0.4,0.625
9,1.0,1.0
10,1.0,1.0
11,0.504424778761062,0.6126237623762376
12,0.5637583892617449,0.7804054054054055
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,0.8205128205128205,0.5
17,0.6,0.7857142857142857
18,0.3157894736842105,0.5
19,0.7894736842105263,0.5944700460829493
20,1.0,1.0
21,0.5555555555555556,0.76
22,1.0,1.0
23,0.8571428571428571,0.8571428571428571
24,0.5625,0.5158730158730158
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,0.75,0.75
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,0.7837837837837838,0.5
47,1.0,1.0
48,0.6829268292682927,0.6013513513513513
49,1.0,1.0
50,0.6885245901639344,0.6557734204793029
51,1.0,1.0
52,0.4722222222222222,0.5380952380952381
53,1.0,1.0
54,0.8,0.8
55,1.0,1.0
56,1.0,1.0
57,0.22448979591836735,0.5128205128205128
58,1.0,1.0
59,0.5555555555555556,0.5064935064935066
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,0.48214285714285715,0.48214285714285715
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,0.6538461538461539,0.6538461538461539
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
mean,0.8656242650570355,0.8746032754466809
