fold,best_acc,best_bal_acc
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,0.9333333333333333,0.9333333333333333
4,0.8235294117647058,0.8235294117647058
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,0.5625,0.5625
13,0.9642857142857143,0.9642857142857143
14,1.0,1.0
15,0.7096774193548387,0.7096774193548387
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,0.5,0.5
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,0.926829268292683,0.926829268292683
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,0.0,0.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,0.9180327868852459,0.9180327868852459
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,0.7142857142857143,0.7142857142857143
49,1.0,1.0
50,0.9642857142857143,0.9642857142857143
51,1.0,1.0
52,0.0,0.0
53,1.0,1.0
54,0.6666666666666666,0.6666666666666666
55,1.0,1.0
56,1.0,1.0
57,0.7142857142857143,0.7142857142857143
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,0.8235294117647058,0.8235294117647058
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,0.8333333333333334,0.8333333333333334
82,0.8888888888888888,0.8888888888888888
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,0.96,0.96
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
100,1.0,1.0
101,0.9523809523809523,0.9523809523809523
102,1.0,1.0
103,1.0,1.0
104,1.0,1.0
105,1.0,1.0
106,1.0,1.0
mean,0.9519237787832543,0.9519237787832543
