fold,best_test_acc,best_test_bal_acc
0,0.058823529411764705,0.5
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,0.7719298245614035,0.7333333333333334
5,1.0,1.0
6,0.5,0.575268817204301
7,0.008928571428571428,0.5
8,0.4,0.625
9,0.6,0.5
10,1.0,1.0
11,0.46017699115044247,0.6245874587458746
12,0.31543624161073824,0.6554054054054054
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,0.6410256410256411,0.6138392857142857
17,0.6666666666666666,0.8214285714285714
18,0.3157894736842105,0.5
19,0.7105263157894737,0.6013824884792627
20,1.0,1.0
21,0.2222222222222222,0.58
22,1.0,1.0
23,1.0,1.0
24,0.4375,0.5
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,0.24324324324324326,0.5172413793103449
47,1.0,1.0
48,0.6097560975609756,0.6722972972972974
49,1.0,1.0
50,0.6557377049180327,0.6759259259259259
51,1.0,1.0
52,0.5,0.5714285714285714
53,1.0,1.0
54,0.5,0.5
55,1.0,1.0
56,1.0,1.0
57,0.7959183673469388,0.5
58,1.0,1.0
59,0.5555555555555556,0.5324675324675324
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
mean,0.8567433304698165,0.8870078709966326
