fold,best_test_acc,best_test_bal_acc
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,0.978021978021978,0.9879518072289157
4,0.9846153846153847,0.9912280701754386
5,1.0,1.0
6,1.0,1.0
7,0.9916666666666667,0.9955357142857143
8,1.0,1.0
9,0.9444444444444444,0.95
10,1.0,1.0
11,0.9586776859504132,0.9778761061946903
12,0.9554140127388535,0.9173657718120805
13,0.9230769230769231,0.9
14,1.0,1.0
15,0.972972972972973,0.9827586206896552
16,1.0,1.0
17,0.9736842105263158,0.9833333333333334
18,0.9629629629629629,0.9736842105263157
19,0.9130434782608695,0.9473684210526316
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,0.9333333333333333,0.9285714285714286
24,1.0,1.0
25,0.8888888888888888,0.5
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,0.9863013698630136,0.9923076923076923
30,0.9795918367346939,0.9878048780487805
31,1.0,1.0
32,0.9801980198019802,0.989247311827957
33,1.0,1.0
34,1.0,1.0
35,0.875,0.9285714285714286
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,0.95,0.9615384615384616
43,1.0,1.0
44,1.0,1.0
45,0.8928571428571429,0.9387755102040816
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,0.96,0.9722222222222222
57,1.0,1.0
58,1.0,1.0
59,0.96,0.9722222222222222
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,0.9841269841269841,0.9910714285714286
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,0.9696969696969697,0.9807692307692308
69,1.0,1.0
70,0.9642857142857143,0.9761904761904762
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,0.8888888888888888,0.9285714285714286
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,0.9782608695652174,0.9871794871794872
82,1.0,1.0
83,0.9787234042553191,0.9875
84,1.0,1.0
85,0.984375,0.9912280701754386
86,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,0.9629629629629629,0.975
90,1.0,1.0
91,1.0,1.0
92,0.9636363636363636,0.9791666666666667
93,0.9642857142857143,0.9761904761904762
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,0.9090909090909091,0.9423076923076923
98,1.0,1.0
99,0.9523809523809523,0.9642857142857143
100,1.0,1.0
101,0.5,0.5
102,0.9318181818181818,0.9594594594594594
103,0.9861111111111112,0.9923076923076923
104,1.0,1.0
105,1.0,1.0
106,1.0,1.0
107,1.0,1.0
108,1.0,1.0
109,1.0,1.0
110,1.0,1.0
111,1.0,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,0.9285714285714286,0.9523809523809523
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,0.9534883720930233,0.9722222222222222
120,1.0,1.0
121,1.0,1.0
122,1.0,1.0
123,1.0,1.0
124,0.9859154929577465,0.9921875
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
131,1.0,1.0
132,1.0,1.0
133,1.0,1.0
134,1.0,1.0
135,1.0,1.0
136,1.0,1.0
137,0.9642857142857143,0.9761904761904762
138,0.9733333333333334,0.9852941176470589
139,1.0,1.0
140,1.0,1.0
141,1.0,1.0
142,1.0,1.0
mean,0.9838390886647786,0.9845305335799227
