fold,best_test_acc,best_test_bal_acc
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,0.9924812030075187,0.9772727272727273
7,1.0,1.0
8,0.9285714285714286,0.9545454545454546
9,0.983739837398374,0.9723222322232223
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,0.9583333333333334,0.9772727272727273
19,1.0,1.0
20,1.0,1.0
21,0.96875,0.9772727272727273
22,0.96,0.8333333333333333
23,1.0,1.0
24,0.9885057471264368,0.9772727272727273
25,0.9682539682539683,0.9650776053215078
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,0.9565217391304348,0.9772727272727273
30,0.9565217391304348,0.9772727272727273
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,0.9565217391304348,0.9761904761904762
36,1.0,1.0
37,1.0,1.0
38,0.9090909090909091,0.47619047619047616
39,1.0,1.0
40,0.9857142857142858,0.9897959183673469
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,0.9818181818181818,0.9852941176470589
45,1.0,1.0
46,1.0,1.0
47,0.9666666666666667,0.9523809523809523
48,0.9642857142857143,0.9761904761904762
49,1.0,1.0
50,1.0,1.0
51,0.90625,0.9285714285714286
52,1.0,1.0
53,1.0,1.0
54,0.9583333333333334,0.9761904761904762
55,0.9787234042553191,0.9761904761904762
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
mean,0.9885794254726059,0.9816548404215477
