fold,best_test_acc,best_test_bal_acc
0,0.9411764705882353,0.5
1,0.5,0.5
2,1.0,1.0
3,1.0,1.0
4,0.7894736842105263,0.5
5,1.0,1.0
6,0.08823529411764706,0.5
7,0.9910714285714286,0.5
8,0.8,0.5
9,0.7,0.625
10,1.0,1.0
11,0.48672566371681414,0.566006600660066
12,0.9932885906040269,0.5
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,0.8205128205128205,0.5
17,0.26666666666666666,0.6071428571428571
18,0.3157894736842105,0.5
19,0.18421052631578946,0.5
20,1.0,1.0
21,0.9259259259259259,0.5
22,1.0,1.0
23,1.0,1.0
24,0.4375,0.5
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,0.21621621621621623,0.5
47,1.0,1.0
48,0.9024390243902439,0.5
49,1.0,1.0
50,0.5573770491803278,0.5991285403050108
51,1.0,1.0
52,0.5833333333333334,0.5
53,1.0,1.0
54,0.5,0.5
55,1.0,1.0
56,1.0,1.0
57,0.20408163265306123,0.5
58,1.0,1.0
59,0.3888888888888889,0.5
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
mean,0.8778300349295606,0.8623023116637395
